Gene	L11.D8.Tox.KO1.Tim3p_S11	L13.D8.Tox.KO2.Tim3p_S13	L15.D8.Tox.KO3.Tim3p_S15	L17.D8.Tox.KO4.Tim3p_S2	L19.D8.Tox.KO5.Tim3p_S4	L1.D8.Tox.WT1.Tim3p_S1	L3.D8.Tox.WT2.Tim3p_S3	L5.D8.Tox.WT3.Tim3p_S5	L7.D8.Tox.WT4.Tim3p_S7	L9.D8.Tox.WT5.Tim3p_S9
Mageb3	0	1.64232446460139	1.70632884864814	3.46499180743018	1.63608210358993	2.88714181204967	0.942196572351043	3.77095324678622	0	0
Maged1	53.7671675456936	81.295060997769	73.3721404918702	40.4249044200187	6.54432841435971	18.2852314763146	26.3815040258292	48.0796538965243	45.3430932045771	35.534932536014
Maged2	77.7555961430031	125.637821542007	84.4632780080832	80.8498088400375	71.9876125579569	77.9528289253411	51.8208114793074	14.1410746754483	55.0594703198437	58.6326386844231
Magee1	219.204606147828	238.137047367202	194.521488745888	252.944401942403	332.124667028755	220.385158319791	153.57804129322	147.067176624663	156.541631301516	197.218875574878
Magee2	19.0253054392454	3.28464892920279	22.1822750324259	15.0149644988641	11.4525747251295	2.88714181204967	20.7283245917229	11.3128597403587	19.4327542305331	12.4372263876049
Mageh1	0	4.92697339380418	2.55949327297222	3.46499180743018	1.63608210358993	1.92476120803311	5.65317943410626	6.59916818187589	2.15919491450367	0
Magi2	5.7903103510747	57.4813562610488	15.3569596378333	19.6349535754377	19.6329852430791	50.0437914088609	27.3237005981802	23.5684577924139	29.1491313457996	54.1907721174214
Magi3	86.8546552661204	123.174334845105	65.6936606729536	114.344729645196	99.8010083189856	198.250404427411	85.7398880839449	32.9958409093794	118.755720297702	63.9628785648252
Magoh	1297.02951864073	1145.52131405947	1355.67827025095	978.282686964454	945.655455874979	929.659663479993	988.364204396244	969.134984424059	860.439173429714	1110.46664175044
Magohb	617.908833178971	543.609397783061	649.258126910619	392.699071508753	338.668995443115	296.413226037099	373.109842651013	686.313490915092	506.331207451111	533.91236135361
Magt1	1555.11192286006	1423.07414857711	1559.5845676644	1448.36657550581	1829.13979181354	1643.74607166028	1500.91913975521	1863.79364222409	1941.1162281388	1689.68604208747
Maip1	332.52925159029	386.767411413628	388.189813067453	316.46925174529	319.036010200036	310.848935097348	379.70521865747	378.980801302015	294.730105829751	359.791191927142
Majin	0	0.821162232300697	5.11898654594443	1.15499726914339	1.63608210358993	0	4.71098286175521	5.65642987017933	10.7959745725184	0
