Gene	L11.D8.Tox.KO1.Tim3p_S11	L13.D8.Tox.KO2.Tim3p_S13	L15.D8.Tox.KO3.Tim3p_S15	L17.D8.Tox.KO4.Tim3p_S2	L19.D8.Tox.KO5.Tim3p_S4	L1.D8.Tox.WT1.Tim3p_S1	L3.D8.Tox.WT2.Tim3p_S3	L5.D8.Tox.WT3.Tim3p_S5	L7.D8.Tox.WT4.Tim3p_S7	L9.D8.Tox.WT5.Tim3p_S9
Itpkc	6.64799982812647	6.49008161228044	6.67875406498262	6.71559724469823	7.00356983410462	6.99170956029401	6.79069794549679	6.78446015463489	6.91442760257577	6.51618052315359
Itpr1	10.3433420963115	10.2757070132138	10.300365349725	10.6259217410066	10.5617443317893	10.8503534405861	10.6462658788867	10.3032127757266	10.3564586024208	10.2216118565872
Itpr2	10.6027027449314	10.6924790027569	10.7338375483491	11.0775481110942	11.0098968507407	10.8636502923589	10.5052241640403	10.1837740005388	10.4304866782493	10.272851133628
Itpr3	8.92405347672634	8.62026593222051	8.73652343625477	9.01348659261649	9.03580531811864	9.48857748852187	9.36213458799811	8.74375452378333	8.92415471637405	9.06690672476074
Itpripl1	7.43244258477543	7.46307163751619	7.44633008934893	7.33743644345805	7.55075689663564	7.46499239163018	7.5278594266911	7.51527693635083	7.57403057028354	7.4058592203141
Itpripl2	6.41334934036836	5.99764624107416	6.6490775174924	5.7957448980508	6.0688271467268	6.17293541132333	7.08655722298188	7.13564784212327	6.81195242523992	6.16930220801493
Itsn1	6.90420874092592	7.07950484914984	6.70020803720896	7.38114694297255	7.11017774664441	6.98228424422308	7.09206844648506	7.46355419189995	6.96501339250665	7.08212423592758
Itsn2	11.1332367757499	10.9994737826714	11.0561334890155	11.5096947788884	11.5659123501953	11.6905591186621	11.3755482901284	11.0749674575213	11.3982884397392	11.039847554477
Ivd	8.84749690591548	9.2757563342951	8.87128993873735	8.7384758998577	8.92544655151317	8.68385879803908	8.78618267352403	9.14828472098442	9.00343941506533	9.08176188823395
Ivns1abp	12.4650192409056	12.4761400156769	12.447883000048	12.3662604757863	12.5935947909458	12.407017331594	12.3392413502111	12.376568198257	12.4342180342868	12.5268462704272
Iws1	10.2056641070755	10.158962907336	10.072308231564	10.5204022495634	10.4820248194615	10.3580100433591	10.3649525206002	10.2989595901042	10.2257467366307	10.1496268498534
