Gene	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Gm16286	11.5798648050602	11.4827551923173	11.3907391735692	11.5391236209581	11.4905818202627	11.510169066761	11.5235838886903	11.3940128944481	11.3839325449606	11.6188758855552
Gm16287	3.23346226896067	3.1543691900411	3.24394894576602	3.15309026921989	3.20540258602852	3.21890443927682	3.16725054478679	3.17375586564991	3.17829555950843	3.22003104542717
Gm16288	2.57204102313129	2.55800642351906	2.55460796615644	2.53507803723855	2.55118319471469	2.53630263003581	2.53748353750617	2.58605852849818	2.55060026296878	2.56405920308125
Gm16299	5.77253518889601	5.72647210026603	5.73620702028041	5.74671761540632	5.70649653145585	5.61428293573865	5.7713630085982	5.83878976616538	5.79330840798082	5.67847869480446
Gm16301	1.93892845613657	1.97648054551349	1.96004556957099	1.99566812245567	1.95466235061318	1.97663893567178	1.98792488685285	1.9576059484144	1.95835200130295	1.96180439276899
Gm16305	0.257936961307758	0.280488058193735	0.292574374284844	0.258052906319681	0.280697104090267	0.258124706095804	0.257831351718824	0.264213782783504	0.258455613286318	0.257738982821527
Gm16310	2.13947135939203	2.13494573062804	2.13353493032471	2.14132934956615	2.15741084910889	2.13502662854861	2.18036523540053	2.13796397137453	2.19046385532742	2.1594338656246
Gm16315	2.39848904304316	2.44420781251634	2.46604549854496	2.39995303559319	2.40842291559706	2.41563029204051	2.4157152501785	2.40981359684439	2.41377134540063	2.45827764070108
Gm16333	1.23400017626888	1.22253100892096	1.22826613828244	1.22186379253446	1.2075221481414	1.24476975798133	1.21328357631443	1.22601428172803	1.23478284472738	1.20675284812909
Gm16334	2.48838695769579	2.5272479245152	2.48220616234151	2.51120154977967	2.54206367405038	2.54170807105885	2.55349651495026	2.48716633120737	2.51258840676971	2.50911700896691
Gm16337	1.37320722787626	1.38916515698851	1.38745987416295	1.38822534655322	1.40408221992601	1.36686260058029	1.3662323149065	1.43366523035398	1.37647947727982	1.36603382818568
Gm16364	0.900195924579874	0.909938715491314	0.887322644549782	0.894735412342635	0.880570955728524	0.880557541649681	0.922944112098873	0.880132794595459	0.881056794484978	0.897469679074059
Gm16365	2.28769916287191	2.31454096241056	2.27625712449821	2.26345533847598	2.27215413438146	2.27197451525599	2.26603686465086	2.27246028012373	2.25241168886255	2.28137116005844
Gm16372	2.12985381024001	2.17523569821279	2.1303484425045	2.16625328180791	2.18290434831146	2.1313271218011	2.14779008031844	2.18463155909082	2.16025932919082	2.1400958011783
Gm16378	3.92396380503502	3.87613925164642	3.8969686116879	3.90692591969419	3.89117426224812	3.89771730478097	3.90402860739243	3.91070330897979	3.99496551383185	3.91890854156774
Gm16386	1.91182841827809	1.88005448993607	1.89996882548421	1.89391556236135	1.93863689718232	1.8875929424152	1.87797906927515	1.93342166346859	1.89134051578347	1.87136632353095
Gm16433	1.88490596841934	1.88622998933532	1.89239079521179	1.90018094700885	1.9088813963179	1.90870801067548	1.92747213762479	1.89692114792832	1.94924506145203	1.895301895661
Gm16437	0.37205478074481	0.373747191731025	0.372644181154347	0.36596687236785	0.373893579783969	0.373810455766548	0.364805618636053	0.358510925321277	0.359164862754924	0.364321269338344
