Gene	L10.D8.Tox.WT5.Tim3n_S10	L12.D8.Tox.KO1.Tim3n_S12	L14.D8.Tox.KO2.Tim3n_S14	L16.D8.Tox.KO3.Tim3n_S1	L18.D8.Tox.KO4.Tim3n_S3	L20.D8.Tox.KO5.Tim3n_S5	L2.D8.Tox.WT1.Tim3n_S2	L4.D8.Tox.WT2.Tim3n_S4	L6.D8.Tox.WT3.Tim3n_S6	L8.D8.Tox.WT4.Tim3n_S8
Ctsl	9.26215224188029	9.23672487112444	9.09192240243339	8.93515991073733	7.89431057073428	7.38514032495062	8.17015020775687	9.38147244501746	9.27369465807022	9.87115670485072
Ctso	10.5629234478946	10.4363151905703	10.2445530432848	10.3278673549404	10.3328509050865	10.4181826213803	10.6086342769495	10.3734752454097	10.583828721845	10.5209017879744
Ctss	13.6062884076459	13.3551742925896	13.4165457906327	13.2721240608611	12.4872890936308	11.7225072229951	12.8282365542152	13.8137361908057	13.7301312683143	14.5267207397977
Ctsw	13.1492124834251	13.4330926409347	13.2777445299376	13.5014494627949	13.6368108819306	13.5513951701661	13.8051540617129	13.3380295606752	13.3252820956887	12.684730028356
Ctsz	12.6491287925087	12.4605994336724	12.4266953270471	12.3467355978951	11.7114791697766	11.3163816308413	11.9446339881621	12.7661025309176	12.6701869038513	13.4763591117681
Cttn	8.16982027840208	7.15233176591568	7.65019654818849	7.35066663521926	7.063053470813	6.62080835550473	6.79145956237811	7.25054879479502	7.38106913154414	7.69281498810812
Cttnbp2nl	7.35958162590411	6.85456804321826	6.88393487462978	6.9406706525516	5.84035259120381	5.77211733261874	6.20233194928282	7.66238195552625	7.27061706095464	8.17670867230117
Ctu1	7.99034222173549	8.16924054277114	8.12932269739581	8.14928076954222	8.04340525117867	8.14005509476687	8.06689016670773	8.37321756398925	8.09177172744842	8.24486251623436
Ctu2	9.34974643241966	9.50398327141312	9.45881134407669	9.67196297180279	9.51289975390172	9.63005467546286	9.66143768534706	9.58562798089101	9.37634351902781	9.43437009618046
Ctxn1	2.65632665432838	2.9307757666719	2.68390484365223	2.72254106121805	2.77604693067309	2.7998441688689	2.75385121278649	2.57827843344629	2.58899184422792	2.73412104998496
Cubn	1.82151955827955	1.84445919057183	1.83633451317896	1.82040091158569	1.77280524349718	1.85902596557961	1.77065294890617	2.17638164644182	1.77045473289946	1.9964306666624
Cuedc1	4.18651759010002	4.33980590276922	4.36120265688538	4.34520165478281	4.48916349670737	4.62881016222643	4.14323268617515	4.29606236485214	4.33808359472662	4.22257376840415
Cuedc2	10.1662381482718	10.1694004278977	10.1144799845288	10.139854609509	10.014611205054	9.8060490999991	10.1215489478284	10.1421474694083	10.1173999833528	10.161441879547
Cul1	11.543465635128	11.532435016752	11.5094801786299	11.4853542896488	11.6150516744403	11.3949803058748	11.5508995631008	11.4932372241147	11.562495218731	11.6361915303823
Cul2	10.7110298684098	10.4114993845617	10.5382723449052	10.3859392073989	10.5568320939354	10.47287666023	10.6109762051268	10.3963629689201	10.4968167254137	10.5347407446096
Cul3	11.7844278451377	11.8680976930842	11.9778622461474	11.5539221369149	11.8466958616073	11.8248957428912	11.8697785770522	11.5528216923722	11.5881318491606	11.6220144945782
Cul4a	10.8710827296191	10.5057294084111	10.5565012306519	10.6508197873986	10.5023761457739	10.5926066384329	10.484284863162	10.6568216144405	10.6125420833828	10.8504782671226
Cul4b	9.1763025051987	9.24342342668971	9.16199044912564	9.19659529398111	9.29702202137578	9.31499165369462	8.98983924524062	9.19989163444169	9.16320089698873	9.22328175906592
Cul5	9.77897188249881	9.86206173928891	9.93595127157678	9.80431940924864	9.88587262646116	9.95974413250132	10.0301280179643	9.92547430892617	9.77940916524003	9.74237434885411
Cul7	5.49777806772498	6.16716359566536	6.32185700853029	5.86628071498841	5.96768321618116	6.36089707224976	6.4610073822129	6.60963872582134	6.49306419275706	6.16183040065453
Cul9	7.26148771056367	6.72607875800976	6.7767079827321	6.93451513676627	6.09302451133806	6.74480106157464	7.2377945487892	7.94891114749934	7.44280750820406	7.91172008301922
Cuta	10.2926228924162	10.5093675045851	10.4084449144674	10.3964018747195	10.2840043032141	10.2176790420882	10.3571620073436	10.3010829757184	10.3580878587612	10.3435051529291
Cutc	8.5572399008415	8.49658630003368	8.55737868134244	8.52100645403071	8.41506046889079	8.36751536530436	8.3097702800633	8.52668009303576	8.50948250909678	8.67350265602927
Cux1	10.0346370528373	9.80991547088723	9.67498268508147	10.067184483398	9.97410810434335	10.1838566318255	10.177040400456	10.0452897815673	9.77824063595281	10.1378374897728
Cux2	0.877264402254083	0.822682087292727	0.846326550541958	0.822795231657706	0.989002944780809	0.821914140817655	0.824385513239645	0.822462859747611	1.09785862656013	0.823379638848028
Cwc15	11.0861231194163	11.2995181537999	11.1916339635001	11.2464093016012	11.271411526211	11.3581068864675	11.2432699642934	11.1991856951247	11.2610853160976	11.1390179363111
Cwc22	9.59285454510871	9.66495677858334	9.62684354210604	9.76765564998262	10.1051745012605	9.97490697565693	9.82514463165098	9.80335846443595	9.98047686942754	9.98136358724281
Cwc25	9.70848235831379	10.0092093831417	9.94938638501618	9.8412810847865	9.9309514985673	9.95325399155077	10.0143148115604	9.95552209381948	9.79489983389813	9.81104696664013
Cwc27	8.6570259780203	8.80250512796549	8.88782689428431	8.75679029858548	8.89238889251029	9.09017784188175	8.85479265774255	8.87945911991823	8.71567483870998	9.05003637906996
Cwf19l1	8.96976251175119	8.94340505169667	9.07141361775874	9.10588890481512	8.99162956440677	8.98212064145144	9.08236234478871	8.92207446981667	8.95149472923316	9.07990724657758
