Gene	L21.D20.Tox.WT1_S6	L22.D20.Tox.WT2_S7	L23.D20.Tox.WT3_S8	L24.D20.Tox.WT4_S9	L25.D20.Tox.WT5_S10	L26.D20.Tox.KO1_S11	L27.D20.Tox.KO2_S12	L28.D20.Tox.KO3_S13	L29.D20.Tox.KO4_S14	L30.D20.Tox.KO5_S15
Plscr2	0	1	0	4	0	0	0	0	0	0
Plscr3	185	133	167	213	169	197	249	156	193	221
Plscr4	180	156	189	207	152	440	456	301	513	323
Plscr5	0	0	0	0	2	0	1	1	0	0
Pltp	169	173	193	396	172	231	238	144	281	338
Plut	0	0	0	0	0	0	0	0	0	0
Plvap	1	1	5	12	0	2	0	3	6	23
Plxdc1	324	280	372	336	327	212	397	213	299	291
Plxdc2	145	121	117	363	98	469	526	329	459	284
Plxna1	2	21	3	19	6	17	50	18	11	26
Plxna2	0	0	3	0	0	0	0	5	1	0
Plxna3	16	9	20	21	27	84	58	60	24	58
Plxna4	0	0	0	0	0	0	0	0	0	0
Plxna4os1	14	1	0	20	7	2	0	3	6	14
Plxna4os2	0	0	0	0	0	0	0	0	0	0
Plxna4os3	0	0	0	0	0	0	0	0	0	0
Plxnb1	11	32	53	62	41	79	115	73	39	27
Plxnb2	78	141	105	278	108	30	38	104	73	469
Plxnb3	0	9	0	34	0	0	1	1	1	15
Plxnc1	461	414	603	663	462	1398	1703	1245	1378	1160
Plxnd1	28	19	21	22	38	26	16	11	24	68
Pm20d1	1	0	0	15	0	2	4	1	1	9
Pm20d2	0	0	0	0	0	0	0	0	0	5
Pmaip1	995	1209	1471	1083	1300	1876	1791	1626	1963	1435
Pmch	0	0	0	0	0	0	0	0	0	4
Pmel	41	32	21	50	42	59	59	53	54	84
Pmepa1	16	20	17	89	54	30	49	51	71	82
Pmepa1os	0	0	0	0	0	0	0	0	0	0
Pmf1	373	274	273	688	489	433	444	332	548	731
Pmfbp1	1	0	0	0	0	0	0	0	0	0
Pmis2	0	0	0	0	0	0	0	0	0	0
Pml	2681	3388	4163	3600	3712	3881	5399	2840	4094	3386
Pmm1	173	137	106	215	137	218	394	251	408	379
Pmm2	1358	1265	1538	1655	1517	2357	2669	1576	2278	2006
