geneName	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Szrd1	740	847	698	896	872	888	920	992	582	843
Szt2	644	508	452	500	431	385	496	480	406	418
T	0	0	0	0	0	0	0	0	0	0
T2	0	0	0	3	0	0	1	0	0	0
Taar1	0	0	0	0	0	0	0	0	0	0
Taar2	0	0	0	0	0	0	0	0	0	0
Taar3	0	0	0	0	0	0	0	0	0	0
Taar4	0	0	0	0	0	0	0	0	0	0
Taar5	0	0	0	0	0	0	0	0	0	0
Taar6	0	0	0	0	0	0	0	0	0	0
Taar7a	0	0	0	0	0	1	0	0	0	0
Taar7b	0	0	0	0	0	0	0	0	0	0
Taar7c-ps	0	0	0	0	0	0	0	0	0	0
Taar7d	0	0	0	0	0	0	0	0	0	0
Taar7e	0	0	0	0	0	0	0	0	0	0
Taar7f	0	0	0	0	0	0	0	0	0	0
Taar8a	0	0	0	0	0	0	0	0	0	0
Taar8b	0	0	0	0	0	0	0	0	0	0
Taar8c	0	0	0	0	0	0	0	0	0	0
Taar9	0	0	0	0	0	0	0	0	0	0
Tab1	816	668	733	668	691	630	827	826	456	749
Tab2	537	494	726	658	602	576	726	541	509	871
Tab3	357	301	410	279	377	421	346	337	472	344
Tac1	0	0	0	0	0	0	0	0	0	0
Tac2	0	0	0	0	0	0	0	2	0	0
Tac4	0	3	0	3	2	3	0	2	0	12
Tacc1	3971	3316	3791	3885	3769	3490	4219	4430	3222	4062
Tacc2	839	662	669	657	651	643	778	742	423	541
Tacc3	2807	3344	2349	2269	1508	2518	2306	3909	1512	3255
Taco1	119	134	142	119	133	106	104	117	57	103
Taco1os	5	0	2	1	2	1	8	3	2	2
Tacr1	0	2	0	0	11	1	0	0	0	0
Tacr2	0	0	0	0	0	0	0	0	0	0
Tacr3	0	0	0	0	0	0	0	0	0	0
Tacstd2	25	48	28	19	22	15	12	19	8	9
Tada1	634	516	541	512	462	395	635	557	309	588
Tada2a	317	244	293	224	254	209	393	256	184	296
Tada2b	420	361	459	460	508	512	555	536	410	442
Tada3	863	714	709	815	754	676	906	847	446	824
Taf1	1362	1323	1302	871	882	806	1048	1355	906	1191
Taf10	1585	1281	1185	1829	1652	1568	2190	1888	963	2399
Taf11	792	672	759	564	611	594	638	731	393	726
Taf12	1421	1377	1419	1631	1254	1447	1991	1832	1167	2201
Taf13	608	613	816	729	746	622	965	870	655	1191
Taf15	188	214	131	176	140	169	145	241	114	187
Taf1a	263	252	335	267	259	239	377	294	225	382
Taf1b	1560	1697	1442	1249	1061	1377	1548	1649	1344	1874
Taf1c	483	276	320	417	538	443	461	407	191	461
Taf1d	899	840	947	816	706	772	1061	967	932	1059
Taf2	2063	2180	2374	2031	2046	1647	2263	2331	1829	2441
Taf3	685	575	673	633	586	533	580	740	481	866
Taf4	219	146	263	247	221	294	515	583	276	260
Taf4b	327	261	396	235	313	143	289	271	197	189
Taf5	443	359	321	276	372	374	360	598	275	477
Taf5l	2219	1630	1714	1725	1838	1624	2392	1907	1311	2324
Taf6	764	863	838	909	704	784	977	945	411	1015
Taf6l	1395	1273	1382	1694	1508	1510	1841	1732	1041	2067
Taf7	523	549	610	441	391	464	648	565	373	521
Taf7l	0	0	0	0	0	0	0	0	0	0
Taf8	1420	1264	930	1229	1254	1112	1292	1215	833	1484
Taf9	3	7	8	3	2	3	4	15	6	5
Taf9b	1483	1676	1778	1495	1262	1360	1886	1951	1234	2208
Tagap	1530	1210	1370	1042	1030	1022	1641	1429	1117	1486
Tagap1	456	308	363	300	324	276	474	372	219	399
Tagln	7	11	12	5	15	4	12	10	5	20
Tagln2	5020	5531	5360	8304	5906	6909	7966	8226	3442	10073
Tagln3	1	0	0	0	0	3	0	5	0	0
Tal1	0	0	0	0	0	0	1	0	2	0
Tal2	0	0	1	0	0	0	0	0	0	0
Taldo1	6848	5226	5514	5229	4933	4896	6270	5956	2996	6005
Tamm41	360	416	394	447	407	435	582	475	302	768
Tanc1	486	319	511	321	358	365	654	479	374	268
Tanc2	235	364	233	277	214	335	219	307	133	316
Tango2	1044	1038	920	996	895	929	1147	1210	590	1392
Tango6	398	322	319	307	366	247	392	300	188	315
Tank	1305	1399	1261	1167	966	1008	1305	1601	1056	1776
Taok1	566	445	617	523	431	488	573	614	449	647
Taok2	1412	976	1147	1160	1055	1092	1234	1268	826	921
Taok3	5880	4162	4824	4014	4008	3579	4758	4783	3420	4162
Tap1	18993	14449	15023	13237	16409	13660	18475	15172	10422	17716
Tap2	7131	5658	5520	6015	6424	5687	7790	6917	3902	6647
Tapbp	18920	15741	14983	15764	16276	15514	19921	18643	10993	19846
Tapbpl	4704	3132	4084	3283	3963	3152	5902	3540	2678	4486
Tapt1	2103	2208	2489	1957	1856	1943	2714	2922	2153	2589
Tarbp1	194	189	225	233	232	170	132	245	198	160
Tarbp2	509	507	474	578	368	442	526	518	236	615
Tardbp	2646	2648	2986	2780	2246	2542	3358	3531	2181	3290
Tarm1	1	0	2	9	4	6	0	4	0	5
Tars	3596	3363	3388	2793	2497	2608	3597	3650	2225	3410
Tars2	1542	1120	963	985	1110	1013	1421	1287	632	1176
Tarsl2	242	306	307	166	200	182	323	245	130	305
Tas1r1	17	19	18	34	19	30	11	11	4	27
Tas1r2	0	0	0	0	0	0	0	0	0	0
Tas1r3	33	30	34	33	16	26	13	21	14	15
Tas2r102	0	0	0	0	0	0	0	0	0	0
Tas2r103	0	0	0	0	0	0	0	0	0	0
Tas2r104	0	0	0	1	0	0	0	0	0	0
Tas2r105	0	0	0	0	0	0	0	0	0	0
Tas2r106	0	0	0	0	0	0	0	0	0	0
Tas2r107	0	0	0	0	0	0	0	0	0	0
Tas2r108	0	0	0	0	0	0	0	0	0	0
Tas2r109	0	0	0	0	0	0	0	0	0	0
Tas2r110	0	0	0	0	0	0	0	0	0	0
Tas2r111-ps2	0	0	0	0	0	0	0	0	0	0
Tas2r113	0	0	0	0	0	0	0	0	0	0
Tas2r114	0	0	0	0	0	0	0	0	0	0
Tas2r115	0	0	0	0	0	0	0	0	0	0
Tas2r116	0	0	0	0	0	0	0	0	0	0
Tas2r117	0	0	0	0	0	0	0	0	0	0
Tas2r118	0	0	0	0	0	0	0	0	0	0
Tas2r119	0	0	0	0	0	0	0	0	0	0
Tas2r120	0	0	0	0	0	0	0	0	0	0
Tas2r121	0	0	0	0	0	0	0	0	0	0
Tas2r122	0	0	0	0	0	0	0	0	0	0
Tas2r123	0	0	0	0	0	0	0	0	0	0
Tas2r124	0	0	0	0	0	0	0	0	0	0
Tas2r125	0	0	0	0	0	0	0	0	0	0
Tas2r126	0	0	0	5	0	0	0	0	0	0
Tas2r129	0	0	0	0	0	0	0	0	0	0
Tas2r130	0	0	0	0	0	0	0	0	0	0
Tas2r131	0	0	0	0	0	0	0	0	0	0
Tas2r134	0	0	0	0	0	0	0	0	0	0
Tas2r135	0	0	0	0	4	0	0	0	0	0
